Subfamily,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
CYP620E,0,0,0,0,0,0,0,0,1,1
CYP620H,0,0,0,0,0,2,0,0,2,2
CYP627A,0,0,0,0,0,0,0,0,1,1
CYP628D,0,0,0,0,0,0,0,0,1,1
CYP629A,0,0,0,0,0,0,1,0,0,0
CYP62B,0,0,0,0,0,0,1,0,0,0
CYP62E,0,0,0,0,0,0,1,0,0,0
CYP630A,0,0,0,0,0,0,0,0,0,1
CYP630B1,0,0,0,2,2,0,1,1,2,2
CYP631B,0,0,0,0,0,0,0,0,1,1
CYP646A,0,0,0,0,0,0,0,0,1,1
CYP657B,0,0,0,0,0,0,0,0,1,1
CYP65AC,0,0,0,0,0,0,0,0,1,1
CYP65AF,0,0,0,0,0,0,0,0,1,1
CYP65AK,0,0,0,0,0,0,0,0,1,1
CYP65AM,0,0,0,1,1,0,0,0,0,0
CYP65AP,0,0,0,0,0,0,0,0,1,1
CYP65AQ,0,0,0,0,0,0,0,0,1,1
CYP65BB,0,0,0,1,1,0,0,0,0,0
CYP65J,0,0,0,0,0,0,1,0,0,0
CYP66A,0,0,0,0,0,9,0,0,0,0
CYP66B,0,0,0,0,0,6,0,0,0,0
CYP671B,0,0,0,0,0,0,0,0,1,1
CYP672A,0,0,0,0,0,0,0,0,1,1
CYP673C,0,0,0,0,0,0,1,0,0,0
CYP675D,0,0,0,0,0,0,1,0,0,0
CYP676A,0,0,0,0,0,0,0,0,0,1
CYP68,0,0,0,0,0,0,0,0,1,0
CYP684A,0,0,1,0,0,0,1,0,2,3
CYP68W,0,0,0,0,0,0,0,0,1,1
CYP699A,0,0,0,0,0,7,0,0,0,0
New_subf_100_CYP5080,0,0,0,0,0,0,1,0,0,0
New_subf_101_New_family_15,0,0,0,0,0,0,1,0,0,0
